[2021-09-15 19:48:03,541] INFO basehttp.log_message: "GET /static/d3/d3.v5.min.js HTTP/1.1" 304 0
[2021-09-15 19:48:03,542] INFO basehttp.log_message: "GET /static/c3js/c3.min.js HTTP/1.1" 304 0
[2021-09-15 19:48:03,642] INFO basehttp.log_message: "GET /static/core/portal/imgs/brc_logo.png HTTP/1.1" 304 0
[2021-09-15 19:48:03,653] INFO basehttp.log_message: "GET /static/core/portal/imgs/research_it_logo.png HTTP/1.1" 304 0
[2021-09-15 19:48:03,681] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:48:06,848] ERROR log.log_response: Internal Server Error: /project/
Traceback (most recent call last):
  File "/home/leong/.local/lib/python3.8/site-packages/django/core/handlers/exception.py", line 47, in inner
    response = get_response(request)
  File "/home/leong/.local/lib/python3.8/site-packages/django/core/handlers/base.py", line 181, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/views/generic/base.py", line 70, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/contrib/auth/mixins.py", line 71, in dispatch
    return super().dispatch(request, *args, **kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/views/generic/base.py", line 98, in dispatch
    return handler(request, *args, **kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/views/generic/list.py", line 142, in get
    self.object_list = self.get_queryset()
  File "/home/leong/source/berkeley/coldfront_app/coldfront/coldfront/core/project/views.py", line 261, in get_queryset
    projects = Project.objects.prefetch_related('field_of_science', 'status',).filter(
  File "/home/leong/.local/lib/python3.8/site-packages/django/db/models/query.py", line 1149, in order_by
    obj.query.add_ordering(*field_names)
  File "/home/leong/.local/lib/python3.8/site-packages/django/db/models/sql/query.py", line 1993, in add_ordering
    self.names_to_path(item.split(LOOKUP_SEP), self.model._meta)
  File "/home/leong/.local/lib/python3.8/site-packages/django/db/models/sql/query.py", line 1539, in names_to_path
    raise FieldError("Cannot resolve keyword '%s' into field. "
django.core.exceptions.FieldError: Cannot resolve keyword 'pi' into field. Choices are: allocation, cluster_name, created, description, field_of_science, field_of_science_id, force_review, id, job, joins_auto_approval_delay, modified, name, projectadmincomment, projectreview, projectuser, projectusermessage, requires_review, savioprojectallocationrequest, status, status_id, title, transactions, vectorprojectallocationrequest
[2021-09-15 19:48:06,850] ERROR basehttp.log_message: "GET /project/?order_by=pi&direction=des&show_all_projects=True& HTTP/1.1" 500 115055
[2021-09-15 19:51:29,119] ERROR log.log_response: Internal Server Error: /project/
Traceback (most recent call last):
  File "/home/leong/.local/lib/python3.8/site-packages/django/core/handlers/exception.py", line 47, in inner
    response = get_response(request)
  File "/home/leong/.local/lib/python3.8/site-packages/django/core/handlers/base.py", line 181, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/views/generic/base.py", line 70, in view
    return self.dispatch(request, *args, **kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/contrib/auth/mixins.py", line 71, in dispatch
    return super().dispatch(request, *args, **kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/views/generic/base.py", line 98, in dispatch
    return handler(request, *args, **kwargs)
  File "/home/leong/.local/lib/python3.8/site-packages/django/views/generic/list.py", line 142, in get
    self.object_list = self.get_queryset()
